[2024-07-24 15:25:47,611]107ERROR-An error occurred in processing the video: axes don't match array
[2024-07-24 15:25:48,213]137ERROR-Failed to open image: cannot identify image file <_io.BytesIO object at 0x000001E12BFDDA80>
[2024-07-24 15:25:48,229]54ERROR-An error occurred in object detection: axes don't match array
[2024-07-24 15:25:48,230]107ERROR-An error occurred in processing the video: axes don't match array
[2024-07-24 15:25:48,747]137ERROR-Failed to open image: cannot identify image file <_io.BytesIO object at 0x000001E12BFDDA80>
[2024-07-24 15:25:48,782]54ERROR-An error occurred in object detection: axes don't match array
[2024-07-24 15:25:48,784]107ERROR-An error occurred in processing the video: axes don't match array
[2024-07-24 15:25:49,382]137ERROR-Failed to open image: cannot identify image file <_io.BytesIO object at 0x000001E12BFDEAC0>
[2024-07-24 15:25:49,397]54ERROR-An error occurred in object detection: axes don't match array
[2024-07-24 15:25:49,398]107ERROR-An error occurred in processing the video: axes don't match array
[2024-07-24 15:25:49,937]137ERROR-Failed to open image: cannot identify image file <_io.BytesIO object at 0x000001E12E210400>
[2024-07-24 15:25:49,942]54ERROR-An error occurred in object detection: axes don't match array
[2024-07-24 15:25:49,943]107ERROR-An error occurred in processing the video: axes don't match array
[2024-07-24 15:25:50,650]137ERROR-Failed to open image: cannot identify image file <_io.BytesIO object at 0x000001E12E210950>
[2024-07-24 15:25:50,655]54ERROR-An error occurred in object detection: axes don't match array
[2024-07-24 15:25:50,657]107ERROR-An error occurred in processing the video: axes don't match array
[2024-07-24 15:25:51,315]137ERROR-Failed to open image: cannot identify image file <_io.BytesIO object at 0x000001E12E210A40>
[2024-07-24 15:25:51,342]54ERROR-An error occurred in object detection: axes don't match array
[2024-07-24 15:25:51,343]107ERROR-An error occurred in processing the video: axes don't match array
[2024-07-24 15:25:51,875]137ERROR-Failed to open image: cannot identify image file <_io.BytesIO object at 0x000001E12E210950>
[2024-07-24 15:25:51,897]54ERROR-An error occurred in object detection: axes don't match array
[2024-07-24 15:25:51,897]107ERROR-An error occurred in processing the video: axes don't match array
